Symbol,Company,Delisted Date,Type of Delisting,,,,,
PIRGLASS,Piramal Glass Limited,28-Jul-14,Voluntary Delisting ,,,,,
NOVOPANIND,Novopan Industries Limited,10-Nov-14,Voluntary Delisting ,,,,,
MANJUSHREE,Manjushree Technopack Limited,24-Mar-15,Voluntary Delisting ,,,,,
WINSOMEDJ,Winsome Diamonds and Jewellery Limited,31-Mar-15,Voluntary Delisting ,,,,,
GSLNOVA,GSL Nova Petrochemicals Limited,22-Apr-15,Voluntary Delisting ,,,,,
ESSARPORTS,Essar Ports Limited,31-Dec-15,Voluntary Delisting ,,,,,
ESSAROIL,Essar Oil Limited,17-Feb-16,Voluntary Delisting ,,,,,
BIRLACOT,Birla Cotsyn (India) Limited,16-Mar-16,Voluntary Delisting ,,,,,
ZENITHCOMP,Zenith Computers Limited,18-Mar-16,Voluntary Delisting ,,,,,
GUJSTATFIN,Gujarat State Financial Corporation,18-Mar-16,Voluntary Delisting ,,,,,
NOVAIRNSTL,Nova Iron & Steel Ltd,04-Jul-16,Voluntary Delisting ,,,,,
CHEMOXCHEM,Chemox Chemical Industries Limited,31-Aug-16,Delisting - Liquidation,,,,,
GANAPATEXP,Ganapati Exports Limited,31-Aug-16,Delisting - Liquidation,,,,,
HINDALLOYS,Hamco Mining & Smelting Limited,31-Aug-16,Delisting - Liquidation,,,,,
MANSUKHIND,Mansukh Industries Limited,31-Aug-16,Delisting - Liquidation,,,,,
MARDIACHEM,Mardia Chemicals Limited,31-Aug-16,Delisting - Liquidation,,,,,
MARDIASTL,Mardia Steel Limited,31-Aug-16,Delisting - Liquidation,,,,,
MOOLEXPORT,Moolchand Exports Limited,31-Aug-16,Delisting - Liquidation,,,,,
MOTOROL,Motorol (I) Limited,31-Aug-16,Delisting - Liquidation,,,,,
PALPEUGEOT,Pal Peugeot Limited,31-Aug-16,Delisting - Liquidation,,,,,
PONNIORISA,Ponni Sugars (Orissa) Limited,31-Aug-16,Delisting - Liquidation,,,,,
PRUDENTCM,Prudential Capital Markets Limited,31-Aug-16,Delisting - Liquidation,,,,,
SIVIND,SIV Industries Limited,31-Aug-16,Delisting - Liquidation,,,,,
SMZSCHEM,SMZS Chemicals Limited,31-Aug-16,Delisting - Liquidation,,,,,
VIBRANTINV,Vibrant  Investment and Properties Limited,31-Aug-16,Delisting - Liquidation,,,,,
ALPICFIN,Alpic Finance Limited,12-Sep-16,Delisting - Liquidation,,,,,
ARIHANTCOT,Arihant Cotsyn Limited,12-Sep-16,Delisting - Liquidation,,,,,
BHUPENIND,BIL Industries Limited,12-Sep-16,Delisting - Liquidation,,,,,
BPLREFRIG,B S Refrigerators Limited,12-Sep-16,Delisting - Liquidation,,,,,
BPLSANTECH,BST Limited,12-Sep-16,Delisting - Liquidation,,,,,
CEATFIN,CFL Capital Financial Services Limited,12-Sep-16,Delisting - Liquidation,,,,,
COMPUDYNE,Compudyne Winosystems Limited,12-Sep-16,Delisting - Liquidation,,,,,
CYBERSPACE,Cyberspace Limited,12-Sep-16,Delisting - Liquidation,,,,,
DRIND,DR Softech & Industries Limited,12-Sep-16,Delisting - Liquidation,,,,,
DSJFINCORP,DSJ Finance Corporation Limited,12-Sep-16,Delisting - Liquidation,,,,,
ENKTEXFOOD,Enkay Texofood Industries Limited,12-Sep-16,Delisting - Liquidation,,,,,
HANILERA,Hanil Era Textiles Limited,12-Sep-16,Delisting - Liquidation,,,,,
PATHEJAFOR,Patheja Forgings & Auto Parts Manufacturers Limited,12-Sep-16,Delisting - Liquidation,,,,,
PSTL,Pyramid Saimira Theatre Limited,12-Sep-16,Delisting - Liquidation,,,,,
SNOWCEMIND,Snowcem India Limited (SIL Business Enterprises Limited),12-Sep-16,Delisting - Liquidation,,,,,
SOUNDCRAFT,Soundcraft Industries Limited,12-Sep-16,Delisting - Liquidation,,,,,
SQUAREDBIO,Origin Agrostar Limited,12-Sep-16,Delisting - Liquidation,,,,,
VINCARDS,Vintage Cards & Creations Limited,12-Sep-16,Delisting - Liquidation,,,,,
WOPOLIN,Wopolin Plastics Limited,12-Sep-16,Delisting - Liquidation,,,,,
BENTOLCHEM,Chemox Laboratories Limited,22-Nov-16,Compulsory Delisting ,,,,,
CEPHAMILK,Cepham Milk Specialities Limited,22-Nov-16,Compulsory Delisting ,,,,,
DAMANIACM,Damania Capital Markets Limited,22-Nov-16,Compulsory Delisting ,,,,,
DARTLTD,Dataline and Research Technologies Limited,22-Nov-16,Compulsory Delisting ,,,,,
GRAPCOGRAN,Grapco Industries Limited,22-Nov-16,Compulsory Delisting ,,,,,
HMGIND,HMG Industries Limited,22-Nov-16,Compulsory Delisting ,,,,,
MANDUIND,Mandu Industries Limited,22-Nov-16,Compulsory Delisting ,,,,,
NOVASTEEL,Nova Steel India Limited,22-Nov-16,Compulsory Delisting ,,,,,
RAJINPIPE,Rajinder Pipes Limited,22-Nov-16,Compulsory Delisting ,,,,,
RAJINSTEEL,Rajinder Steels Limited,22-Nov-16,Compulsory Delisting ,,,,,
RUPANGIMPX,Rupangi Impex Limited,22-Nov-16,Compulsory Delisting ,,,,,
SANDERIND,Sanderson Industries Limited,22-Nov-16,Compulsory Delisting ,,,,,
SUNSTARLUB,Sunstar Lubricants Limited,22-Nov-16,Compulsory Delisting ,,,,,
ZENGLOBAL,Zen Global Finance Limited,22-Nov-16,Compulsory Delisting ,,,,,
ARIHANTRED,Arihant Threads Limited,07-Feb-17,Compulsory Delisting ,,,,,
KAMPERCONC,Kamper Concast Limited,07-Feb-17,Compulsory Delisting ,,,,,
KRISHNAENG,Krishna Engineering Works Limited,07-Feb-17,Compulsory Delisting ,,,,,
APOWERTOOL,Consortex Karl Doelitzsch (India) Limited,24-Mar-17,Compulsory Delisting ,,,,,
ARIHANTIND,Arihant Industries Limited,24-Mar-17,Compulsory Delisting ,,,,,
BHORIND,Bhor Industries Limited,24-Mar-17,Compulsory Delisting ,,,,,
BLUEBIRD,Blue Bird (India) Limited,24-Mar-17,Delisting - Liquidation,,,,,
BPLENGG,BPL Engineering Limited,24-Mar-17,Delisting - Liquidation,,,,,
CAUVERSOFT,Cauvery Software Engineering Systems Limited,24-Mar-17,Compulsory Delisting ,,,,,
CDRMEDICAL,CDR Medical Industries Limited,24-Mar-17,Compulsory Delisting ,,,,,
COMPUTECH,Computech International Limited,24-Mar-17,Compulsory Delisting ,,,,,
COREPARENT,Core Healthcare Limited,24-Mar-17,Compulsory Delisting ,,,,,
EIDERTELE,Eider Infotech Limited,24-Mar-17,Compulsory Delisting ,,,,,
ETPCORP,ETP Corporation Limited,24-Mar-17,Compulsory Delisting ,,,,,
EUROSOFTAL,European Software Alliances Limited,24-Mar-17,Compulsory Delisting ,,,,,
GUJCYPROM,Gujarat Cypromet Limited,24-Mar-17,Compulsory Delisting ,,,,,
HARYANSHET,Haryana Sheet Glass Limited,24-Mar-17,Compulsory Delisting ,,,,,
HITECHIJEW,Hitechi Jewellery Industries Limited,24-Mar-17,Compulsory Delisting ,,,,,
ITIL,Information Technologies India Limited,24-Mar-17,Compulsory Delisting ,,,,,
KMF,KMF Limited,24-Mar-17,Compulsory Delisting ,,,,,
LANESEDA,Lan Eseda Industries Limited,24-Mar-17,Compulsory Delisting ,,,,,
MBIND,MB Industries Limited,24-Mar-17,Compulsory Delisting ,,,,,
NOVAELEMAG,Nova Electro Magnetics Limited,24-Mar-17,Compulsory Delisting ,,,,,
PANCHMACEM,Panchmahal Cement Company Limited,24-Mar-17,Compulsory Delisting ,,,,,
PATWIDECOM,Patel's Widecom (India) Limited,24-Mar-17,Compulsory Delisting ,,,,,
RINKIPETRO,Motorol Enterprises Limited,24-Mar-17,Compulsory Delisting ,,,,,
ROOFITIND,Roofit Industries Limited,24-Mar-17,Compulsory Delisting ,,,,,
SCINTSOFT,Scintilla Software Technology Limited,24-Mar-17,Compulsory Delisting ,,,,,
SHRVINDPPR,Shree Vindhya Paper Mills Limited,24-Mar-17,Compulsory Delisting ,,,,,
SMFINANC,S M Finance Limited,24-Mar-17,Compulsory Delisting ,,,,,
SOMANICEM,Somani Cement Company Limited,24-Mar-17,Compulsory Delisting ,,,,,
SQRDSFWARE,DSQ Software Limited,24-Mar-17,Compulsory Delisting ,,,,,
STEELTUBES,Steel Tubes of India Limited,24-Mar-17,Compulsory Delisting ,,,,,
SUNEARTH,Sun Earth Ceramics Limited,24-Mar-17,Compulsory Delisting ,,,,,
SYNTHCHEM,Synthetics & Chemicals Limited,24-Mar-17,Compulsory Delisting ,,,,,
TELEDATAGL,Teledata Informatics Limited,24-Mar-17,Compulsory Delisting ,,,,,
VISHALEXPO,Vishal Exports Overseas Limited,24-Mar-17,Compulsory Delisting ,,,,,
VISIONLTD,Vision Organics Limited,24-Mar-17,Compulsory Delisting ,,,,,
WELLWININD,Wellwin Industry Limited,24-Mar-17,Compulsory Delisting ,,,,,
XEDDTELCOM,Xedd Telecom Limited,24-Mar-17,Compulsory Delisting ,,,,,
SANGHIPOLY,Sanghi Polyesters Limited,24-Mar-17,Delisting - Liquidation,,,,,
ANKURDRUGS,Ankur Drugs and Pharma Limited,12-May-17,Delisting - Liquidation,,,,,
ASHCONIUL,Ashco Niulab Industries Limited,12-May-17,Delisting - Liquidation,,,,,
CORAL-HUB,Coral Hub Limited,12-May-17,Compulsory Delisting ,,,,,
CREWBOS,Crew B.O.S. Products Limited,12-May-17,Delisting - Liquidation,,,,,
DCHL,Deccan Chronicle Holdings Limited,12-May-17,Compulsory Delisting ,,,,,
DHANUS,Dhanus Technologies Limited,12-May-17,Delisting - Liquidation,,,,,
EVINIX,Evinix Accessories Limited (currently known as Evinix Industries Limited),12-May-17,Compulsory Delisting ,,,,,
IOLN,IOL Netcom Limited,12-May-17,Delisting - Liquidation,,,,,
KOUTONS,Koutons Retail India Limited,12-May-17,Delisting - Liquidation,,,,,
NUCHEM,Nuchem Limited,12-May-17,Compulsory Delisting ,,,,,
PAREKHPLAT,Parekh Platinum Limited,12-May-17,Compulsory Delisting ,,,,,
PASUPATI,Pasupati Fabrics Limited,12-May-17,Compulsory Delisting ,,,,,
POLARIND,Polar Industries Limited,12-May-17,Compulsory Delisting ,,,,,
SPANCO,Spanco Limited,12-May-17,Compulsory Delisting ,,,,,
TAKSHEEL,Taksheel Solutions Limited,12-May-17,Compulsory Delisting ,,,,,
TELEDATAIT,Teledata Technology Solutions Limited,12-May-17,Delisting - Liquidation,,,,,
TELEMARINE,Teledata Marine Solutions Limited,12-May-17,Delisting - Liquidation,,,,,
VIKASHMET,Vikash Metal & Power Limited,12-May-17,Compulsory Delisting ,,,,,
KRISNAFILA,Krishna Filament Limited ,02-May-17,Voluntary Delisting ,,,,,
AMTL,Advance Metering Technology Limited,02-May-17,Voluntary Delisting ,,,,,
SRGINFOTEC,SRG Infotec (India) Limited,30-Jun-17,Voluntary Delisting ,,,,,
HOCL,Hindustan Organic Chemicals Limited,24-Aug-17,Voluntary Delisting ,,,,,
ARAVALIIND,Aravali Industries Limited,15-Sep-17,Compulsory Delisting ,,,,,
GROWTECHNO,Growth Techno Projects Limited,15-Sep-17,Compulsory Delisting ,,,,,
NAMASTEXP,Namaste Exports Limited,15-Sep-17,Compulsory Delisting ,,,,,
NEPCAGRO,NEPC Agro Foods Limited,15-Sep-17,Compulsory Delisting ,,,,,
NEPCTEX,NEPC Textiles Limited,15-Sep-17,Compulsory Delisting ,,,,,
ORGINFO,ORG Informatics Limited,15-Sep-17,Compulsory Delisting ,,,,,
SB&TINTL,SB&T International Limited,15-Sep-17,Compulsory Delisting ,,,,,
PADMALAYAT,Padmalaya Telefilms Limited,25-Sep-17,Voluntary Delisting ,,,,,
PEPL,Pearl Engineering Polymers Limited,26-Feb-18,Compulsory Delisting ,,,,,
ISPATPROF,Ispat Profile (I) Limited ,26-Feb-18,Delisting - Liquidation,,,,,
MAARSOFTW,Maars Software International Limited,26-Mar-18,Compulsory Delisting ,,,,,
"EMTEXIND
",Emtex Industries ( India ) Limited,26-Mar-18,Compulsory Delisting ,,,,,
KLGSYSTEL,KLG Systel Limited,24-Apr-18,Compulsory Delisting ,,,,,
BPLSANUTIL,B S Appliances Limited ,22-May-18,Compulsory Delisting ,,,,,
SAITELE,Sai Television Limited ,22-May-18,Compulsory Delisting ,,,,,
KSOILS,K S Oil Limited ,22-May-18,Compulsory Delisting ,,,,,
AGRODUTCH ,Agro Dutch Industries Limited,30-May-18,Compulsory Delisting ,,,,,
BROADCAST,Broadcast Initiatives Limited,30-May-18,Compulsory Delisting ,,,,,
CRESTANI,Crest Animation Studios Limited,30-May-18,Compulsory Delisting ,,,,,
KOPDRUGS,KDL Biotech Limited,30-May-18,Compulsory Delisting ,,,,,
KEMROCK,Kemrock Industries and Exports Limited,30-May-18,Compulsory Delisting ,,,,,
KFA,Kingfisher Airlines Limited,30-May-18,Compulsory Delisting ,,,,,
LUMAXAUTO,Lumax Automotive Systems Limited,30-May-18,Compulsory Delisting ,,,,,
NCOPPER,Nissan Copper Limited,30-May-18,Compulsory Delisting ,,,,,
PLETHICO,Plethico Pharmaceuticals Limited,30-May-18,Compulsory Delisting ,,,,,
SHRIASTER,Shri Aster Silicates Limited,30-May-18,Compulsory Delisting ,,,,,
SURYAPHARM,Surya Pharmaceuticals Limited,30-May-18,Compulsory Delisting ,,,,,
BRANDHOUSE,Brandhouse Retails Limited,30-May-18,Delisting - Liquidation,,,,,
ELDERPHARM,Elder Pharmaceuticals Limited,30-May-18,Delisting - Liquidation,,,,,
FIRSTLEASE,First Leasing Company India Limited,30-May-18,Delisting - Liquidation,,,,,
GLODYNE,Glodyne Technoserve Limited,30-May-18,Delisting - Liquidation,,,,,
HELIOSMATH,Helios and Matheson Information Technology Limited,30-May-18,Delisting - Liquidation,,,,,
TULIP,Tulip Telecom Limited,30-May-18,Delisting - Liquidation,,,,,
VARUN,Varun Industries Limited,30-May-18,Delisting - Liquidation,,,,,
AQUA,Aqua Logistics Limited,02-Jul-18,Delisting - Liquidation,,,,,
ASIANELEC,Asian Electronics Limited,02-Jul-18,Delisting - Liquidation,,,,,
BIRLAPOWER,Birla Power Solutions Limited,02-Jul-18,Delisting - Liquidation,,,,,
CLASSIC,Classic Diamonds (India) Limited,02-Jul-18,Delisting - Liquidation,,,,,
CLUTCHAUTO,Clutch Auto Limited,02-Jul-18,Delisting - Liquidation,,,,,
COREEDUTEC,Core Education & Technologies Limited,02-Jul-18,Delisting - Liquidation,,,,,
DRDATSONS,Dr. Datson's Labs Limited,02-Jul-18,Delisting - Liquidation,,,,,
EDSERV,Edserv Softsystems Limited,02-Jul-18,Delisting - Liquidation,,,,,
EVERONN,Everonn Education Limited,02-Jul-18,Delisting - Liquidation,,,,,
GLORY,Glory Polyfilms Limited,02-Jul-18,Delisting - Liquidation,,,,,
GTOFFSHORE,GOL Offshore Limited,02-Jul-18,Delisting - Liquidation,,,,,
INNOIND,Innoventive Industries Limited,02-Jul-18,Delisting - Liquidation,,,,,
