Symbol,Company,Delisted Date,Type of Delisting,,,,,
ASSAMCO,Assam Company India Limited,20-Jan-20,Voluntary Delisting ,,,,,
RAJASPETRO,Rajasthan Petro Synthetics Limited,13-Feb-20,Voluntary Delisting ,,,,,
ENTEGRA,Entegra Limited,02-Mar-20,Compulsory Delisting ,,,,,
ABGSHIP,ABG Shipyard Limited,02-Mar-20,Delisting - Liquidation,,,,,
GEMINI,Gemini Communication Limited,02-Mar-20,Delisting - Liquidation,,,,,
SHILPI,Shilpi Cable Technologies Limited,02-Mar-20,Delisting - Liquidation,,,,,
SURANAIND,Surana Industries Limited,02-Mar-20,Delisting - Liquidation,,,,,
TODAYS,Todays Writing Instruments Limited,02-Mar-20,Delisting - Liquidation,,,,,
USHERAGRO,Usher Agro Limited,02-Mar-20,Delisting - Liquidation,,,,,
PRASGLOFIN,Silicon Valley Infotech Limited,17-Mar-20,Voluntary Delisting ,,,,,
FIRSTWIN,First Winner Industries Limited,10-Jul-20,Compulsory Delisting ,,,,,
PANORAMUNI,Panoramic Universal Limited,10-Jul-20,Compulsory Delisting ,,,,,
FARMAXIND,Farmax India Limited,10-Jul-20,Compulsory Delisting ,,,,,
ANGIND,ANG Industries Limited,10-Jul-20,Delisting - Liquidation,,,,,
NICCO,Nicco Corporation Limited,10-Jul-20,Delisting - Liquidation,,,,,
RASOYPR,Rasoya Proteins Limited,10-Jul-20,Delisting - Liquidation,,,,,
EDL,Empee Distilleries Limited,24-Jul-20,Voluntary Delisting ,,,,,
HEXAWARE,Hexaware Technologies Limited,09-Nov-20,Voluntary Delisting ,,,,,
